627.0 24 2458808.5 21-11-2019
823.0 0 2458784.5 28-10-2019
675.0 28 2458812.5 25-11-2019
524.0 11 2458795.5 8-11-2019
759.0 33 2458817.5 30-11-2019
576.0 14 2458798.5 11-11-2019
719.0 31 2458815.5 28-11-2019
626.0 18 2458802.5 15-11-2019
674.0 22 2458806.5 19-11-2019
793.0 30 2458814.5 27-11-2019
523.0 5 2458789.5 2-11-2019
846.0 0 2458784.5 28-10-2019
718.0 23 2458807.5 20-11-2019
625.0 12 2458796.5 9-11-2019
575.0 8 2458792.5 5-11-2019
574.0 2 2458786.5 30-10-2019
673.0 15 2458799.5 12-11-2019
758.0 25 2458809.5 22-11-2019
624.0 5 2458789.5 2-11-2019
717.0 16 2458800.5 13-11-2019
623.0 0 2458784.5 28-10-2019
822.0 23 2458807.5 20-11-2019
672.0 8 2458792.5 5-11-2019
792.0 21 2458805.5 18-11-2019
671.0 2 2458786.5 30-10-2019
716.0 9 2458793.5 6-11-2019
863.0 0 2458784.5 28-10-2019
670.0 0 2458784.5 28-10-2019
757.0 16 2458800.5 13-11-2019
715.0 1 2458785.5 29-10-2019
714.0 0 2458784.5 28-10-2019
845.0 14 2458798.5 11-11-2019
756.0 8 2458792.5 5-11-2019
821.0 12 2458796.5 9-11-2019
791.0 11 2458795.5 8-11-2019
755.0 0 2458784.5 28-10-2019
790.0 2 2458786.5 30-10-2019
754.0 0 2458784.5 28-10-2019
820.0 0 2458784.5 28-10-2019
844.0 0 2458784.5 28-10-2019
789.0 0 2458784.5 28-10-2019
862.0 0 2458784.5 28-10-2019
819.0 0 2458784.5 28-10-2019
843.0 0 2458784.5 28-10-2019
861.0 0 2458784.5 28-10-2019
