field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
113,296.47059,-53.05,0.05,345.2478,-29.9256,288.2704,-31.2767,0
114,307.05882,-53.05,0.05,345.5975,-36.2779,295.5433,-32.8472,0
115,317.64706,-53.05,0.05,344.7363,-42.6021,302.7951,-34.8987,0
116,328.23528999999996,-53.05,0.01,342.286,-48.7271,310.0398,-37.3974,0
117,338.82353,-53.05,0.01,337.6771,-54.4079,317.3066,-40.3037,0
118,349.41176,-53.05,0.01,330.1701,-59.2736,324.6445,-43.573,0
119,0.0,-45.85,0.01,327.5347,-69.1507,337.7182,-41.1712,0
120,9.47368,-45.85,0.02,309.0779,-71.419,345.3012,-44.7419,0
121,18.947370000000003,-45.85,0.01,288.6987,-70.8007,353.2555,-48.4411,0
122,28.42105,-45.85,0.02,272.487,-67.538,1.7529,-52.2023,0
123,37.894740000000006,-45.85,0.02,262.1035,-62.5837,11.0264,-55.9438,0
124,47.36842,-45.85,0.01,256.0895,-56.7232,21.3877,-59.5595,0
125,56.84211,-45.85,0.01,252.8917,-50.4058,33.2304,-62.9062,0
126,66.31579,-45.85,0.01,251.5185,-43.877,46.9789,-65.789,0
127,75.78947,-45.85,0.02,251.3976,-37.2827,62.8965,-67.9566,0
128,85.26316,-45.85,0.05,252.204,-30.7217,80.7056,-69.1365,0
129,94.73684,-45.85,0.06,253.7542,-24.2714,99.2944,-69.1365,0
130,104.21053,-45.85,0.12,255.9488,-18.0017,117.1035,-67.9566,0
131,113.68421000000001,-45.85,0.18,258.7395,-11.9823,133.0211,-65.789,0
132,123.15789,-45.85,0.85,262.1097,-6.2874,146.7696,-62.9062,0
133,132.63158,-45.85,2.05,266.0599,-0.9995,158.6123,-59.5595,0
134,142.10526000000002,-45.85,0.8,270.5963,3.7899,168.9736,-55.9438,0
135,151.57895,-45.85,0.13,275.7171,7.9802,178.2471,-52.2023,0
136,161.05263,-45.85,0.17,281.3988,11.465,186.7445,-48.4411,0
137,170.52632,-45.85,0.1,287.5817,14.1391,194.6988,-44.7419,0
138,180.0,-45.85,0.14,294.16,15.9093,202.2818,-41.1712,0
139,189.47368,-45.85,0.08,300.9813,16.7066,209.6193,-37.7855,0
140,198.94737,-45.85,0.14,307.86,16.4977,216.804,-34.635,0
141,208.42105,-45.85,0.1,314.6019,15.2914,223.9032,-31.7653,0
142,217.89473999999998,-45.85,0.1,321.0325,13.137,230.9649,-29.2179,0
143,227.36842000000001,-45.85,0.12,327.018,10.1151,238.0212,-27.0305,0
144,236.84211000000002,-45.85,0.26,332.4724,6.3253,245.0915,-25.2367,0
145,246.31579,-45.85,0.89,337.3526,1.8744,252.1844,-23.8648,0
146,255.78947000000002,-45.85,17.95,341.6458,-3.1331,259.2998,-22.9372,0
147,265.26316,-45.85,0.41,345.3553,-8.6,266.4313,-22.4694,0
148,274.73684,-45.85,0.12,348.4862,-14.4387,273.5687,-22.4694,0
149,284.21053,-45.85,0.05,351.0337,-20.5704,280.7002,-22.9372,0
150,293.68421,-45.85,0.08,352.9699,-26.9231,287.8156,-23.8648,0
151,303.15789,-45.85,0.05,354.2281,-33.4279,294.9085,-25.2367,0
152,312.63158,-45.85,0.03,354.6793,-40.013,301.9788,-27.0305,0
153,322.10526,-45.85,0.03,354.0906,-46.594,309.0351,-29.2179,0
154,331.57895,-45.85,0.02,352.0509,-53.0571,316.0968,-31.7653,0
155,341.05262999999997,-45.85,0.01,347.839,-59.2238,323.196,-34.635,0
156,350.52632,-45.85,0.01,340.2334,-64.7804,330.3807,-37.7855,0
157,3.76926,-38.65,0.02,333.0586,-76.7062,345.5141,-36.4019,0
158,12.25,-38.65,0.01,303.0,-78.75,352.8007,-39.7127,0
159,20.73074,-38.65,0.02,272.9414,-76.7062,0.4078,-43.0776,0
160,29.211479999999998,-38.65,0.02,255.7659,-71.9201,8.4492,-46.4384,0
161,37.69222,-38.65,0.02,247.4254,-65.9996,17.0615,-49.7262,0
162,46.172959999999996,-38.65,0.02,243.4544,-59.6287,26.4027,-52.8579,0
163,54.6537,-38.65,0.02,241.7647,-53.0738,36.6388,-55.7323,0
164,63.134440000000005,-38.65,0.01,241.4089,-46.4569,47.9126,-58.2279,0
165,71.61519,-38.65,0.01,241.9264,-39.8467,60.2818,-60.2065,0
166,80.09593000000001,-38.65,0.04,243.0805,-33.2908,73.6343,-61.5278,0
167,88.57667,-38.65,0.05,244.7473,-26.8287,87.6258,-62.0776,0
168,97.05741,-38.65,0.09,246.8659,-20.498,101.7166,-61.8026,0
169,105.53815,-38.65,0.19,249.413,-14.3387,115.3338,-60.7299,0
170,114.01888999999998,-38.65,0.36,252.3904,-8.3953,128.0564,-58.9568,0
171,122.49963000000001,-38.65,0.87,255.8166,-2.7193,139.6981,-56.6188,0
172,131.10733000000002,-38.65,0.53,259.7832,2.7062,150.4199,-53.8131,0
173,139.842,-38.65,0.15,264.3479,7.7905,160.305,-50.6569,0
174,148.57667,-38.65,0.1,269.4889,12.3614,169.3658,-47.306,0
175,157.31133,-38.65,0.08,275.2226,16.3182,177.7788,-43.8562,0
176,166.046,-38.65,0.13,281.5334,19.5531,185.6999,-40.3862,0
177,174.78067,-38.65,0.11,288.3576,21.96,193.2585,-36.9619,0
178,183.51533,-38.65,0.09,295.5725,23.4468,200.5596,-33.6402,0
179,192.25,-38.65,0.07,303.0,23.95,207.6872,-30.4715,0
180,200.98467,-38.65,0.06,310.4275,23.4468,214.707,-27.5016,0
181,209.71932999999999,-38.65,0.08,317.6424,21.96,221.6698,-24.7725,0
182,218.454,-38.65,0.09,324.4666,19.5531,228.6134,-22.3233,0
183,227.18867000000003,-38.65,0.08,330.7774,16.3182,235.5639,-20.1897,0
184,235.92333,-38.65,0.31,336.5111,12.3614,242.5375,-18.4038,0
185,244.658,-38.65,0.67,341.6521,7.7905,249.5411,-16.9936,0
186,253.39267,-38.65,0.66,346.2168,2.7062,256.5742,-15.9816,0
187,262.00037000000003,-38.65,8.76,350.1834,-2.7193,263.5274,-15.3903,0
188,270.48111,-38.65,0.25,353.6096,-8.3953,270.3894,-15.2114,0
189,278.96185,-38.65,0.1,356.587,-14.3387,277.2507,-15.436,0
190,287.44259,-38.65,0.43,359.1341,-20.498,284.0994,-16.0606,0
191,295.92332999999996,-38.65,0.16,1.2527,-26.8287,290.926,-17.0753,0
192,304.40407000000005,-38.65,0.08,2.9195,-33.2908,297.7245,-18.4642,0
193,312.88481,-38.65,0.04,4.0736,-39.8467,304.4946,-20.2062,0
