field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
334,283.72589,-17.05,0.24,18.3982,-9.0209,283.1794,5.7635,64
335,290.80782,-17.05,0.13,21.3548,-15.1437,289.9316,4.9611,64
336,297.88975,-17.05,0.18,24.25,-21.3312,296.6298,3.8481,64
337,304.97168,-17.05,0.09,27.1488,-27.567,303.2627,2.4424,64
338,312.05361,-17.05,0.06,30.127,-33.8354,309.8249,0.7657,64
339,319.13554,-17.05,0.09,33.2823,-40.1204,316.3167,-1.1572,64
340,326.21746,-17.05,0.05,36.7532,-46.4031,322.7444,-3.2993,64
341,333.29939,-17.05,0.03,40.7551,-52.6582,329.1201,-5.6317,60
342,340.38132,-17.05,0.03,45.6551,-58.8462,335.461,-8.1245,64
343,347.46325,-17.05,0.03,52.1425,-64.8952,341.7893,-10.7464,64
344,354.54517999999996,-17.05,0.03,61.6457,-70.6524,348.1314,-13.4655,64
345,5.20081,-9.85,0.04,100.9227,-71.2343,0.8112,-11.0975,64
346,12.25,-9.85,0.04,123.0,-72.45,7.3241,-13.8929,64
347,19.29919,-9.85,0.06,145.0773,-71.2343,13.934,-16.6474,64
348,26.348370000000003,-9.85,0.03,162.8169,-67.9882,20.6735,-19.3231,64
349,33.39756,-9.85,0.02,175.6776,-63.4501,27.5729,-21.881,64
350,40.446740000000005,-9.85,0.03,184.9807,-58.1737,34.659,-24.2805,64
351,47.49593,-9.85,0.05,191.9858,-52.4763,41.9521,-26.4799,64
352,54.54511,-9.85,0.06,197.5294,-46.5315,49.4635,-28.4372,64
353,61.5943,-9.85,0.05,202.1303,-40.4378,57.1927,-30.1113,64
354,68.64348000000001,-9.85,0.09,206.1151,-34.2549,65.1245,-31.4635,64
355,75.69266999999999,-9.85,0.07,209.6983,-28.022,73.228,-32.46,64
356,82.74185,-9.85,0.13,213.0286,-21.767,81.4572,-33.0743,64
357,89.79104,-9.85,0.56,216.2161,-15.512,89.7537,-33.2891,64
358,96.84022,-9.85,0.64,219.3486,-9.2762,98.0522,-33.0983,64
359,103.88941,-9.85,0.38,222.5024,-3.0783,106.2871,-32.5073,64
360,110.94883,-9.85,0.49,225.7543,3.0707,114.4112,-31.5311,64
361,118.0185,-9.85,0.15,229.1789,9.1478,122.3767,-30.1942,64
362,125.08816999999999,-9.85,0.09,232.8533,15.1165,130.1397,-28.5316,64
363,132.15783000000002,-9.85,0.05,236.8714,20.9418,137.6841,-26.582,64
364,139.2275,-9.85,0.06,241.3452,26.5785,145.0087,-24.3868,64
365,146.29717,-9.85,0.05,246.4091,31.9669,152.1242,-21.9885,64
366,153.36683,-9.85,0.07,252.2227,37.0266,159.0511,-19.429,64
367,160.4365,-9.85,0.05,258.9647,41.6509,165.8158,-16.7494,64
368,167.50617,-9.85,0.03,266.8098,45.6999,172.4491,-13.9891,64
369,174.57583,-9.85,0.03,275.8739,49.0003,178.9836,-11.1863,64
370,181.6455,-9.85,0.03,286.1205,51.358,185.4524,-8.3778,64
371,188.71517,-9.85,0.04,297.2609,52.5928,191.8881,-5.5992,64
372,195.78483,-9.85,0.05,308.7391,52.5928,198.3213,-2.8856,64
373,202.8545,-9.85,0.03,319.8795,51.358,204.7804,-0.2714,64
374,209.92417000000003,-9.85,0.06,330.1261,49.0003,211.2904,2.2095,64
375,216.99382999999997,-9.85,0.05,339.1902,45.6999,217.8718,4.5238,64
376,224.0635,-9.85,0.11,347.0353,41.6509,224.5404,6.6385,64
377,231.13317,-9.85,0.1,353.7773,37.0266,231.3057,8.5222,64
378,238.20282999999998,-9.85,0.14,359.5909,31.9669,238.1706,10.1451,64
379,245.2725,-9.85,0.19,4.6548,26.5785,245.1307,11.4799,64
380,252.34217,-9.85,0.27,9.1286,20.9418,252.1744,12.5033,64
381,259.41183,-9.85,0.37,13.1467,15.1165,259.2835,13.1963,64
382,266.4815,-9.85,0.53,16.8211,9.1478,266.4341,13.5457,64
383,273.55117,-9.85,0.74,20.2457,3.0707,273.599,13.5449,64
384,280.61059,-9.85,14.79,23.4976,-3.0783,280.7391,13.1946,64
385,287.65977999999996,-9.85,0.31,26.6514,-9.2762,287.8275,12.503,64
386,294.70896,-9.85,0.2,29.7839,-15.512,294.851,11.483,64
387,301.75815,-9.85,0.16,32.9714,-21.767,301.7913,10.1533,64
388,308.80733,-9.85,0.07,36.3017,-28.022,308.6369,8.537,64
389,315.85652000000005,-9.85,0.11,39.8849,-34.2549,315.3836,6.6612,64
390,322.9057,-9.85,0.05,43.8697,-40.4378,322.034,4.5553,64
391,329.95489,-9.85,0.04,48.4706,-46.5315,328.5977,2.2506,64
392,337.00407,-9.85,0.07,54.0142,-52.4763,335.0899,-0.2204,62
393,344.05326,-9.85,0.04,61.0193,-58.1737,341.5312,-2.8245,64
394,351.10244,-9.85,0.04,70.3224,-63.4501,347.9461,-5.5282,64
395,358.15162999999995,-9.85,0.03,83.1831,-67.9882,354.3626,-8.2974,64
396,1.7067299999999999,-2.65,0.04,99.0188,-63.2744,0.511,-3.1101,64
